Timestamp,Which course are you currently enrolled in?,FF_Influence_Activity,FF_Working__Activity,FF_Heard_CCM,TWED_Affordable,TWED_Location,TWED_Programs,TWED_Online,TWED_FF,TWED_Faculty,TWED_Repuation,TWED_Scholarships,TWED_Transfer,TWED_Class_Size,TWED_ExtraC,G_Programs,RE_GuidanceHS,RE_IT_Website,RE_Admissions,RE_GuidanceCCM,RE_Employer,RE_Other,G_WebDev,G_Cyber,G_App,G_Data,G_ML_AI,G_CMP,G_GameD,G_Hardware,Gender,R/E,Age
2024/09/14 9:28:21 PM AST,CMP 135 Computer Concepts with Applications,0.0,0.0,0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Radiography,0,0,1,1,0,0,0,1,0,1,1,1,1,1,Woman,Hispanic or Latino,25-34
2024/09/15 2:58:37 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Criminal Justice,0,0,1,1,0,0,0,1,1,0,0,1,1,1,Man,Black/African American,19-20
2024/09/16 12:12:48 PM AST,CMP 101 Computer Information Literacy,1.0,1.0,0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,Liberal Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man,White/Caucasian,35-64
2024/09/16 12:33:11 PM AST,CMP 126 Computer Technology and Applications,1.0,0.0,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Broadcasting Arts and Technology,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Woman,White/Caucasian,19-20
2024/09/16 4:07:09 PM AST,CMP 101 Computer Information Literacy,0.0,0.0,0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Liberal Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,25-34
2024/09/16 10:12:54 PM AST,CMP 101 Computer Information Literacy,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,Not in a degree program,1,0,0,0,0,0,0,0,1,0,1,0,1,0,Woman,Hispanic or Latino,18 and younger
2024/09/17 7:53:12 AM AST,CMP 126 Computer Technology and Applications,1.0,0.0,1,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Criminal Justice,0,1,1,0,0,0,0,1,1,1,1,1,1,1,Man,White/Caucasian,19-20
2024/09/18 12:06:47 PM AST,CMP 126 Computer Technology and Applications,2.0,2.0,1,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,,1.0,2.0,Culinary Arts and Sciences,Don't recall,1,1,1,0,0,0,1,1,0,1,1,1,0,Man,Asian,21-24
2024/09/18 2:57:56 PM AST,CMP 135 Computer Concepts with Applications,1.0,,1,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Radiography,0,0,0,0,0,0,1,1,1,1,0,1,0,0,Woman,Black/African American,19-20
2024/09/18 4:12:53 PM AST,CMP 101 Computer Information Literacy,1.0,0.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,Nursing,Don't recall,Don't recall,1,1,Don't recall,Don't recall,1,1,1,1,1,1,0,0,Woman,Hispanic or Latino,21-24
2024/09/19 9:12:47 AM AST,CMP 126 Computer Technology and Applications,0.0,0.0,0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,Broadcasting Arts and Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prefer not to say,White/Caucasian,19-20
2024/09/19 9:15:33 AM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,Liberal Arts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Woman,Asian;White/Caucasian,19-20
2024/09/19 9:21:51 AM AST,CMP 135 Computer Concepts with Applications,,,1,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Radiography,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Woman,Hispanic or Latino;White/Caucasian,25-34
2024/09/19 9:34:15 AM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Liberal Arts,0,0,0,0,0,0,0,1,0,1,1,0,1,1,Man,Hispanic or Latino,25-34
2024/09/19 9:49:38 AM AST,CMP 135 Computer Concepts with Applications,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,History Education,0,1,0,1,0,0,0,1,0,1,1,0,0,1,Man,White/Caucasian,19-20
2024/09/19 10:20:11 AM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not in a degree program,0,0,1,1,0,1,0,0,1,0,0,0,1,0,Woman,White/Caucasian,19-20
2024/09/19 10:58:08 AM AST,CMP 126 Computer Technology and Applications,,,1,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,Biology - Environmental Track,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Man,Choose not to reply,19-20
